words,class,group,rooms,comments
naked | nude,ADJECTIVE,555,in 000,
invisibility | הסוואה,ADJECTIVE | NOUN,577,in 000,"תרגום לא מדויק, אבל נראה לי מסובך להכניס צמד מילים. נשקול את זה כשנגיע לשם..."
tp,IMPERATIVE_VERB,1003,in 000,לא צריך לתרגם
undress,NOUN | IMPERATIVE_VERB,1095,in 000,
wait,NOUN | IMPERATIVE_VERB,1168,in 000,
backstage,IMPERATIVE_VERB,1205,in 000,
pump,IMPERATIVE_VERB,1206,in 000,
shark | כריש,NOUN,2201,in 000,
examine | gaze | inspect | look | observe | peer | scan | stare | view | הבט | הסתכל | תביט | תסתכל | בדוק | תבדוק,IMPERATIVE_VERB | NOUN,1140,"in 000, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 018, 025, 027, 028, 029, 040, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 054, 060, 069, 070, 071, 072, 073, 074, 075, 080, 081, 085, 086, 090, 091, 092, 093, 094, 095, 290, 420, 421, 470, 501, 503, 600, 690, 700, 702, 703",
press | push | תלחץ | דחוף | תדחוף,IMPERATIVE_VERB,1002,"in 000, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 081, 086, 095, 420, 421, 600, 700, 703",
acquire | get | grab | obtain | pick | snag | snatch | take | קח | תיקח | השג | תשיג | תקח,IMPERATIVE_VERB,1143,"in 000, 002, 003, 004, 005, 006, 007, 008, 010, 013, 014, 015, 028, 029, 042, 043, 052, 062, 069, 080, 085, 090, 091, 092, 093, 290, 421, 470, 501, 600, 690, 700, 702, 703",
on | upon | על,PREPOSITION,203,"in 000, 002, 003, 004, 005, 006, 007, 008, 010, 013, 014, 015, 081, 470, 503, 600, 700, 703",
remove | הסר | תסיר,IMPERATIVE_VERB,1020,"in 000, 002, 003, 004, 005, 006, 007, 008, 014, 090, 092, 470, 600",
turn | סובב | תסובב | הפוך | תהפוך,IMPERATIVE_VERB,1192,"in 000, 002, 003, 004, 005, 007, 008, 014, 081, 085, 092, 421, 503, 600, 700",
smell | sniff | הרח | תריח,IMPERATIVE_VERB | NOUN,1099,"in 000, 002, 025, 028, 029",
use | השתמש | תשתמש,INDICATIVE_VERB,421,"in 000, 003, 008, 009, 010, 011, 012, 013, 014, 015, 052, 066, 069, 081, 090, 092, 095, 290, 420, 421, 600, 700, 702, 703",
drop | put | set | stash | stow,IMPERATIVE_VERB,1148,"in 000, 003, 008, 014, 015, 066, 075, 090, 092, 290, 470, 700, 703",
belt | seatbelt |חגורה,NOUN,2340,"in 000, 004, 009, 010, 014, 052, 081, 085, 421, 503",
button | כפתור | כפתר,NOUN | IMPERATIVE_VERB,2337,"in 000, 009, 010, 011, 012, 013, 014, 081, 086, 095, 420, 421, 703",
jump,NOUN | IMPERATIVE_VERB,1085,"in 000, 009, 010, 011, 066, 075, 095, 421, 600, 700, 703",
switch,IMPERATIVE_VERB,1016,"in 000, 014, 081, 090",
wear | לבש | תלבש | שים | תשים,IMPERATIVE_VERB,1038,"in 000, 014, 090, 470, 600","יתכן שנוותר על ""שים"""
panties | shorts | skivvies | thermoweave | underwear,NOUN,2335,"in 000, 014, 600",
consume | eat | swallow | taste,IMPERATIVE_VERB,1025,"in 000, 025, 028, 029, 095, 700, 703",
cap | hat | כובע | קובע,NOUN,2198,"in 000, 025, 043, 470",
attire | clothes | clothing | coveralls | outfit | overalls | spacesuit | suit | uniform,NOUN,2244,"in 000, 025, 090",
cast | hurl | throw | toss,IMPERATIVE_VERB,1031,"in 000, 028, 029, 075",
jog | run,IMPERATIVE_VERB,1162,"in 000, 053, 092",
anemometer,NOUN,2123,"in 000, 069",צריך להיות מד רוח. כנראה עדיף עם פאטץ לסקריפט. כשנגיע לשם...
pass,NOUN,2446,"in 000, 080",
activate | הפעל | הדלק,IMPERATIVE_VERB,1152,"in 000, 081, 503",
decoder | ring | טבעת | מפענח | מפענחת,NOUN,2250,"in 000, 290",
ass | asshole | cock | cocksucker | cunt | dick | fuck | fucker | motherfucker | prick | pussy | shit | shithead,IMPERATIVE_VERB | NOUN,1204,"in 000, 700, 703","לא באמת צריך לתרגם...
עומר: אבל יהיו אנשים שינסו לקלל, צריך לתת להם תשובה...
צביקה: בסדר..."
